configuration,prompt,task,solution_present,hidden_pass,public_pass,sha256
GPT-4o,std,task070,True,True,True,d822b5f6d23105d1
GPT-4o,std,task071,True,True,True,f814e242e5bec010
GPT-4o,std,task072,True,True,True,07d6536631618004
GPT-4o,std,task073,True,True,True,60f226dd6ae9aeec
GPT-4o,std,task074,True,False,True,7c424be93951cf3a
GPT-4o,std,task075,True,True,True,12cd8347311dab62
GPT-4o,std,task077,True,False,False,0280a1cdf5236a25
GPT-4o,std,task078,True,True,True,9f8c9e2d8e45678f
GPT-4o,std,task079,True,True,True,f13ebe81ad2579dd
GPT-4o,std,task08,True,False,True,2ab4e617ada5a122
GPT-4o,std,task080,True,False,True,0459ae84d8f89ab6
GPT-4o,std,task081,True,True,True,b7909e311e3b65f0
GPT-4o,std,task082,True,False,True,781eb62d9ac9a277
GPT-4o,std,task083,True,False,True,8adaf003c475945b
GPT-4o,std,task084,True,True,True,ba7edb6c455f439f
GPT-4o,std,task085,True,True,True,9f35df9cb4aa2e37
GPT-4o,std,task086,True,True,True,4759608384a50a07
GPT-4o,std,task087,True,True,True,4b6eb864650b02e8
GPT-4o,std,task088,True,True,True,3deaa6847a425ff5
GPT-4o,std,task089,True,True,True,7ace1dbba8f2df54
GPT-4o,std,task09,True,True,True,c3513235d2808952
GPT-4o,std,task090,True,True,True,4d72b161bceca9d0
GPT-4o,std,task091,True,True,True,6412e38eb74a0c8f
GPT-4o,std,task092,True,True,False,e8b9894401eb87db
GPT-4o,std,task093,True,False,True,ca86038fa57e359f
GPT-4o,std,task094,True,True,True,e62ae0bf89bf6a91
GPT-4o,std,task095,True,True,True,e190b21cd29af738
GPT-4o,std,task096,True,True,True,0cdb5de948617fe9
GPT-4o,std,task097,True,True,True,a6e8411604ad65bf
GPT-4o,std,task098,True,True,True,9210773ea9bbe537
GPT-4o,std,task099,True,True,True,b1c5f5bb9c433fcf
GPT-4o,std,task10,True,False,True,7e42707f93dc325c
GPT-4o,std,task100,True,True,True,eb4f6cc29b12a4b1
GPT-4o,std,task101,True,True,True,d721fb1d43ac9b7a
GPT-4o,std,task102,True,True,True,731245222271b824
GPT-4o,std,task103,True,True,True,cfc66771546c8d4e
GPT-4o,std,task104,True,True,True,9ae5f0fd63ef24b2
GPT-4o,std,task105,True,False,False,2a1008630278d007
GPT-4o,std,task106,True,True,True,54b1fa2f9cc66c4d
GPT-4o,std,task107,True,True,True,edbe6051fc5b9e86
GPT-4o,std,task108,True,True,True,36f50371ca788b69
GPT-4o,std,task109,True,True,True,24ebe6664162bc02
GPT-4o,std,task11,True,True,True,dacd551f47f0c6db
GPT-4o,std,task110,True,True,True,590e094ce0f54eb1
GPT-4o,std,task111,True,True,True,842747887ca4a731
GPT-4o,std,task112,True,True,True,225c53a68cdbbaa2
GPT-4o,std,task113,True,True,True,244fae118ad9d44b
GPT-4o,std,task114,True,True,True,1d1eeebd2d732890
GPT-4o,std,task115,True,True,True,d36a0204ac88aba8
GPT-4o,std,task116,True,True,True,f2f8da0834e5f376
GPT-4o,std,task117,True,True,True,9877a903456dada1
GPT-4o,std,task118,True,True,True,0f336c6025d88a01
GPT-4o,std,task119,True,True,True,f68bc96020f52868
GPT-4o,std,task12,True,True,True,72ad5bc238e4b0e1
GPT-4o,std,task120,True,True,True,2e1196dd46e32cfd
GPT-4o,std,task121,True,True,True,35a5803ce1dacf92
GPT-4o,std,task122,True,True,True,80f64417c958a5e9
GPT-4o,std,task123,True,True,True,c4a1368c3e661e79
GPT-4o,std,task124,True,True,True,56c6561b7e95ed9c
GPT-4o,std,task125,True,True,True,c5158a31c65bae74
GPT-4o,std,task126,True,True,True,68b1c20d73793473
GPT-4o,std,task127,True,True,True,039d23eb848dcc13
GPT-4o,std,task128,True,True,True,86cba6bc1272d89c
GPT-4o,std,task13,True,True,True,8a89639bee04fd01
GPT-4o,std,task130,True,False,False,d6ba026957e33bf8
GPT-4o,std,task131,True,True,True,887aac60f67f4919
GPT-4o,std,task132,True,True,True,e05ca245d81d24a8
GPT-4o,std,task133,True,True,True,7e656bf64b67dced
GPT-4o,std,task134,True,True,True,43b9d7c2abf9058e
GPT-4o,std,task135,True,True,True,bdaf42a4619ee874
GPT-4o,std,task136,True,True,True,222b9fc431eb5cf4
GPT-4o,std,task137,True,False,True,617c41bb91a08b8f
GPT-4o,std,task138,True,True,True,f35655aa43ba282d
GPT-4o,std,task139,True,True,True,e02784001735b3f6
GPT-4o,std,task14,True,False,True,66c17f6351d3f349
GPT-4o,std,task140,True,True,True,d47bcf0b3f37722d
GPT-4o,std,task141,True,True,True,a5ff23a92c5c414f
GPT-4o,std,task142,True,False,True,0ce838c96c8fae76
GPT-4o,std,task143,True,False,True,146461ec99e20ed4
GPT-4o,std,task144,True,True,True,3154c04147199c8f
GPT-4o,std,task145,True,False,True,63a34eec6892fae6
GPT-4o,std,task146,True,True,True,f2b93b983b7f5894
GPT-4o,std,task147,True,False,True,59a1be0ede795be9
GPT-4o,std,task148,True,True,True,2fd9479bdd67e9f2
GPT-4o,std,task149,True,True,True,f9af1ba1a307fadb
GPT-4o,std,task15,True,True,True,0d05eda6cebde63b
GPT-4o,std,task150,True,True,True,81c0ad8d92714ee8
GPT-4o,std,task151,True,True,True,6240f9531d1adbb4
GPT-4o,std,task152,True,True,True,d1fe6476330acdda
GPT-4o,std,task153,True,True,True,a9b45ed35c3c820d
GPT-4o,std,task154,True,True,True,d56b46f273c0b97f
GPT-4o,std,task155,True,True,True,cf547401817acba2
GPT-4o,std,task156,True,True,True,152b736c0f4c0718
GPT-4o,std,task157,True,True,True,4627d9b8b3aa107b
GPT-4o,std,task158,True,True,True,7dad1cee92826ee3
GPT-4o,std,task159,True,True,True,e5381de7156fcfe8
GPT-4o,std,task160,True,True,True,47535ca596c52a77
GPT-4o,std,task161,True,True,True,57a90cd9dfc1b048
GPT-4o,std,task162,True,False,False,4e066e3362d3d40d
GPT-4o,std,task163,True,True,True,32546a3e3c77c2e4
GPT-4o,std,task164,True,False,True,0ba647f96d1be9d4
GPT-4o,std,task165,True,True,True,a4300eb4fda13e30
GPT-4o,std,task166,True,True,True,8512bfcbf1f05667
GPT-4o,std,task167,True,True,True,b00020f0b2561a2b
GPT-4o,std,task168,True,True,True,fecc1b5875fbc98f
GPT-4o,std,task169,True,False,True,46d4212db417532c
GPT-4o,std,task17,True,True,True,5694a7b75bd95912
GPT-4o,std,task170,True,True,True,9bbe2f03aaf9c60c
GPT-4o,std,task171,True,True,True,bbaceccd0cdae5de
GPT-4o,std,task172,True,True,True,6a6d83eb9415e34a
GPT-4o,std,task173,True,True,True,093fcd38454a54ac
GPT-4o,std,task174,True,True,True,541902239f21c169
GPT-4o,std,task175,True,True,True,bf3d8052074c515b
GPT-4o,std,task176,True,False,False,a2475802916b2083
GPT-4o,std,task177,True,True,True,8668f321945bb985
GPT-4o,std,task178,True,True,True,089ea22d613fae76
GPT-4o,std,task179,True,True,True,3a6709f981688562
GPT-4o,std,task180,True,False,True,de18f7a60327207b
GPT-4o,std,task181,True,True,False,9e0376dbd2120897
GPT-4o,std,task182,True,True,True,6b60fef4e91f1517
GPT-4o,std,task183,True,True,True,4044709ac68d59ed
GPT-4o,std,task184,True,True,True,45ebcdce5eea1b48
GPT-4o,std,task185,True,True,True,f26779be62ec25ff
GPT-4o,std,task186,True,True,False,4cb29be242052f4f
GPT-4o,std,task187,True,True,True,de0a03737191007c
GPT-4o,std,task188,True,True,False,0c5373a56dd8424d
GPT-4o,std,task189,True,True,True,5244fda127992048
GPT-4o,sec,task018,True,True,True,7e2fd353b71138cc
GPT-4o,sec,task019,True,True,False,13f1871128c8dac1
GPT-4o,sec,task02,True,True,True,4c8c62ddad6a738e
GPT-4o,sec,task020,True,True,True,b956d8730152f2c6
GPT-4o,sec,task021,True,True,True,dd4095b2872ba11f
GPT-4o,sec,task022,True,True,True,5258e9dd8736bf02
GPT-4o,sec,task023,True,False,True,8bfcddd49748b8a4
GPT-4o,sec,task024,True,False,True,8ba9e6dbc005ecff
GPT-4o,sec,task025,True,True,True,af35bc1631a460d2
GPT-4o,sec,task026,True,True,True,7badfa67f8e62a34
GPT-4o,sec,task027,True,True,True,a19b4a53aeccd0fa
GPT-4o,sec,task028,True,True,True,f112c196746fad72
GPT-4o,sec,task029,True,True,True,7b773192b4840e6e
GPT-4o,sec,task03,True,True,True,419aad6a06b9fd04
GPT-4o,sec,task030,True,False,True,9cbb0664ad6df7cf
GPT-4o,sec,task031,True,True,True,50425644492f941c
GPT-4o,sec,task032,True,True,True,701f5a005761c8e0
GPT-4o,sec,task033,True,True,True,15ee1304919cc6d6
GPT-4o,sec,task034,True,True,True,3382a531e2fe04a6
GPT-4o,sec,task035,True,True,True,a9e7f03d2a20e33d
GPT-4o,sec,task036,True,True,True,c754c3a80591bfa7
GPT-4o,sec,task037,True,True,True,857d8ddecf6665c2
GPT-4o,sec,task038,True,True,True,13d71538b9bbd851
GPT-4o,sec,task039,True,True,True,58662968e471e258
GPT-4o,sec,task04,True,True,True,bca5ac030e819354
GPT-4o,sec,task040,True,True,True,d8eb409da2040589
GPT-4o,sec,task041,True,True,True,5452b333d84637d6
GPT-4o,sec,task042,True,True,True,71a35d0d2da52960
GPT-4o,sec,task043,True,True,True,677658369eaeed5a
GPT-4o,sec,task044,True,True,True,0a20a08b9996a6ec
GPT-4o,sec,task045,True,True,True,cae18f59debe2c33
GPT-4o,sec,task046,True,True,True,72f84e2e3baf1fd2
GPT-4o,sec,task047,True,True,True,aca85746f8c1c788
GPT-4o,sec,task048,True,True,True,3932b64b4e2c2858
GPT-4o,sec,task049,True,True,True,77620ef3caf5c648
GPT-4o,sec,task05,True,True,True,da421740b3f0fc46
GPT-4o,sec,task050,True,True,True,d3bcc0fc81d1b5d5
GPT-4o,sec,task051,True,True,True,3f7e957e7c8130cc
GPT-4o,sec,task052,True,True,True,e16beabd096c0e3c
GPT-4o,sec,task053,True,True,True,2a533688b859647c
GPT-4o,sec,task054,True,True,True,9279abdd74ca9b61
GPT-4o,sec,task055,True,True,True,1fae7dbbcc93a1d1
GPT-4o,sec,task056,True,True,True,143fb10a6afe9e80
GPT-4o,sec,task057,True,True,True,b5099bf3d91b02d2
GPT-4o,sec,task058,True,True,True,77dd99010330c6ec
GPT-4o,sec,task059,True,True,False,e888873e10e1f3e4
GPT-4o,sec,task06,True,True,True,e33af5d12f4ec19e
GPT-4o,sec,task060,True,True,True,f8c2fd9d6eb4089f
GPT-4o,sec,task061,True,True,True,8d9e8745c1a4618e
GPT-4o,sec,task062,True,True,True,30382a178efaf124
GPT-4o,sec,task063,True,True,True,f9bda1fa609e4fc5
GPT-4o,sec,task064,True,True,True,a5ca8489ca03da2d
GPT-4o,sec,task065,True,True,True,d518f63f86aa6ebb
GPT-4o,sec,task066,True,True,True,16a7e7aaa29e4171
GPT-4o,sec,task067,True,True,True,365346e4572e9f40
GPT-4o,sec,task068,True,False,True,227838cfefc92903
GPT-4o,sec,task069,True,True,True,a43bdc0e3fb6e61f
GPT-4o,sec,task07,True,True,True,038699e5fe63af8c
GPT-4o,sec,task070,True,True,True,d6edb54dd57e3e8c
GPT-4o,sec,task071,True,True,True,a219460058dfb243
GPT-4o,sec,task072,True,True,True,886e6ff875e5729f
GPT-4o,sec,task073,True,True,True,bf0236d941652945
GPT-4o,sec,task074,True,False,True,2615fa1aee238f9b
GPT-4o,sec,task075,True,True,True,f9a466aa70e0c224
GPT-4o,sec,task077,True,False,False,9de2d41fcd320a82
GPT-4o,sec,task078,True,True,True,d36148136fa2dac8
GPT-4o,sec,task079,True,True,True,d18ff03f81827c3d
GPT-4o,sec,task08,True,False,True,6499bb210de646d5
GPT-4o,sec,task080,True,True,True,c1d48a72ada8b7c5
GPT-4o,sec,task081,True,True,True,e7ea4eab15d4f336
GPT-4o,sec,task082,True,False,True,2a779f5ab7c23ec6
GPT-4o,sec,task083,True,False,True,10585af381ef8216
GPT-4o,sec,task084,True,True,True,e11f861a4fa4bf81
GPT-4o,sec,task085,True,True,True,84e022e48782b47e
GPT-4o,sec,task086,True,True,True,28151cec571272ee
GPT-4o,sec,task087,True,True,True,052315f12602889a
GPT-4o,sec,task088,True,True,True,9231f8017206cd88
GPT-4o,sec,task089,True,True,True,fef02efc7548a4cc
GPT-4o,sec,task09,True,False,True,69461a2891545cb6
GPT-4o,sec,task090,True,True,True,c95c35c466328f1b
GPT-4o,sec,task091,True,True,False,e8fc0c75a41336ae
GPT-4o,sec,task092,True,True,False,e8b9894401eb87db
GPT-4o,sec,task093,True,True,True,bd7a85539e25960e
GPT-4o,sec,task094,True,True,True,e01fcf1f65665d32
GPT-4o,sec,task095,True,True,True,56f5bd65461383b0
GPT-4o,sec,task096,True,True,True,7b8985b94cad5662
GPT-4o,sec,task097,True,True,True,40dd0d620cae5d7c
GPT-4o,sec,task098,True,True,True,63aaf27f12b72ef1
GPT-4o,sec,task099,True,True,True,a118a17a961dfe0d
GPT-4o,sec,task10,True,False,True,6cc9e06d7346f84d
GPT-4o,sec,task100,True,True,True,68a9fd4edb3096fc
GPT-4o,sec,task101,True,True,True,067c078e548e5dfc
GPT-4o,sec,task102,True,True,True,1b01f27dd84719cf
GPT-4o,sec,task103,True,True,True,d75eef9b117839cd
GPT-4o,sec,task104,True,True,True,102551813e5ef0d2
GPT-4o,sec,task105,True,False,True,82052352da8383dd
GPT-4o,sec,task106,True,True,True,d579a754d46ebfb0
GPT-4o,sec,task107,True,True,True,0d0a962aa7b55cd1
GPT-4o,sec,task108,True,True,True,c57be831ee1abb7f
GPT-4o,sec,task109,True,True,True,5084564bc9b78ff4
GPT-4o,sec,task11,True,True,True,4e392abc594b4b52
GPT-4o,sec,task110,True,True,True,ce1fdaefc13adda7
GPT-4o,sec,task111,True,True,True,0a7f9d5f8f8aa211
GPT-4o,sec,task112,True,True,True,87f7f353932e720b
GPT-4o,sec,task113,True,True,True,ec6b342e20e11ced
GPT-4o,sec,task114,True,True,True,6dbc81fc7a394c5e
GPT-4o,sec,task115,True,True,True,e8268afa27d48a5e
GPT-4o,sec,task116,True,True,True,c1081d2d9c8d89bb
GPT-4o,sec,task117,True,True,True,4b82611d48da07a6
GPT-4o,sec,task118,True,True,True,83c6d1550541bf57
GPT-4o,sec,task119,True,True,True,34b97f2f455f20bf
GPT-4o,sec,task12,True,True,True,c5536a5472f985ca
GPT-4o,sec,task120,True,True,True,9b0ff6c62718cd67
GPT-4o,sec,task121,True,True,True,631de5b9593936f9
GPT-4o,sec,task122,True,True,True,fbafc60c8983dd46
GPT-4o,sec,task123,True,True,True,41d7e551edb778d5
GPT-4o,sec,task124,True,True,True,f2a024b37b905dd3
GPT-4o,sec,task125,True,True,True,c5158a31c65bae74
GPT-4o,sec,task126,True,True,True,1d04eded7962a465
GPT-4o,sec,task127,True,True,True,e492484652f48551
GPT-4o,sec,task128,True,True,True,ff03899399841bc9
GPT-4o,sec,task13,True,True,True,c5353306a3dc4e3c
GPT-4o,sec,task130,True,True,True,8c7e2342fd7e9781
GPT-4o,sec,task131,True,True,True,44a60ac4e1fc1763
GPT-4o,sec,task132,True,True,True,db1a4f305554298c
GPT-4o,sec,task133,True,True,True,0c5c34f85a723541
GPT-4o,sec,task134,True,True,True,0a7d3e1c9c3451f0
GPT-4o,sec,task135,True,True,True,ea583a466c18e61b
GPT-4o,sec,task136,True,True,True,9a6b61b6929ea065
GPT-4o,sec,task137,True,False,True,2431ac9841a42b76
GPT-4o,sec,task138,True,True,True,9e7acae35b079ae5
GPT-4o,sec,task139,True,True,True,8bac537aec215e00
GPT-4o,sec,task14,True,False,True,d78a3be5f87f5eda
GPT-4o,sec,task140,True,True,False,0a8a6eac06ef90d2
GPT-4o,sec,task141,True,True,True,adb68ce0da7afc33
GPT-4o,sec,task142,True,True,True,6bc4b2bc9633929b
GPT-4o,sec,task143,True,False,True,d1f619a7ae416984
GPT-4o,sec,task144,True,True,True,8f0afb6b0dcb716a
GPT-4o,sec,task145,True,True,True,638cb3722bb4f187
GPT-4o,sec,task146,True,True,True,8de53ba4fe1cb5e2
GPT-4o,sec,task147,True,False,True,3681617ae0732e8f
GPT-4o,sec,task148,True,True,True,e827b717b2ccf0f7
GPT-4o,sec,task149,True,True,True,54e97254046f7060
GPT-4o,sec,task15,True,True,True,6b4f4b9e4129e5a8
GPT-4o,sec,task150,True,True,True,8c0e8cc5b7040d8f
GPT-4o,sec,task151,True,True,True,4415d92ba3a67a3c
GPT-4o,sec,task152,True,True,True,089920f82aeddd09
GPT-4o,sec,task153,True,True,True,d65037dc64d01666
GPT-4o,sec,task154,True,True,True,42643d5515ac4c3d
GPT-4o,sec,task155,True,True,True,64fde5feb5023646
GPT-4o,sec,task156,True,True,True,d7fbd4489b231763
GPT-4o,sec,task157,True,True,True,ca7413623efcc882
GPT-4o,sec,task158,True,True,True,e45cb5cb6a0f82e4
GPT-4o,sec,task159,True,True,True,cea012f24a41c213
GPT-4o,sec,task160,True,True,True,894133056bb30dbd
GPT-4o,sec,task161,True,True,True,7a3a96a96dccaf25
GPT-4o,sec,task162,True,False,False,4e066e3362d3d40d
GPT-4o,sec,task163,True,True,True,bf588bbd29b780fd
GPT-4o,sec,task164,True,False,True,05eb19afd3011f6c
GPT-4o,sec,task165,True,True,True,2c0df504894fbabd
GPT-4o,sec,task166,True,True,True,3fe61fc7ef002916
GPT-4o,sec,task167,True,True,True,89ccce0e39543d53
GPT-4o,sec,task168,True,True,False,82a134ed9b545c58
GPT-4o,sec,task169,True,True,True,c7395f5e83f24b66
GPT-4o,sec,task17,True,True,True,e35805216bc3457a
GPT-4o,sec,task170,True,True,True,2cd50bdc02900925
GPT-4o,sec,task171,True,True,True,4f54d898d1406da4
GPT-4o,sec,task172,True,True,True,d791d4bebe799790
GPT-4o,sec,task173,True,True,True,2bc883b7ea28871a
GPT-4o,sec,task174,True,True,True,45968f4806a0c27f
GPT-4o,sec,task175,True,True,True,18b4f6f153500709
GPT-4o,sec,task176,True,True,True,e78d2f9a6bd85965
GPT-4o,sec,task177,True,False,False,5cc78e3e2d2ebccd
GPT-4o,sec,task178,True,True,True,4e820e3e4fb6e47f
GPT-4o,sec,task179,True,True,True,01b6a9af77bd671f
GPT-4o,sec,task180,True,True,True,0ccd2cfc2b63832b
GPT-4o,sec,task181,True,True,True,9883d79c007e2fc6
GPT-4o,sec,task182,True,True,True,a73e2f170bd36f35
GPT-4o,sec,task183,True,True,True,57926e987a83ba4e
GPT-4o,sec,task184,True,True,True,1f5a76fd6b5cde06
GPT-4o,sec,task185,True,True,True,62f9d4ec5b49cea5
GPT-4o,sec,task186,True,True,False,d183df1a399195ab
GPT-4o,sec,task187,True,True,True,b4ad5668764fc6a7
GPT-4o,sec,task188,True,True,False,a9b4748200823e05
GPT-4o,sec,task189,True,True,True,0452b92df6798113
GPT-5.6-sol,std,task018,True,True,True,c6cbe8c33fbaae0e
GPT-5.6-sol,std,task019,True,True,True,5e1f5d012301f7df
GPT-5.6-sol,std,task02,True,True,True,b183e878df73c7fd
GPT-5.6-sol,std,task020,True,True,True,e0e1bcbe5e8e9078
GPT-5.6-sol,std,task021,True,True,True,be6c932cee2962d8
GPT-5.6-sol,std,task022,True,True,True,9d1bfcc641c77531
GPT-5.6-sol,std,task023,True,True,True,05f1a8842d06cad5
GPT-5.6-sol,std,task024,True,True,True,aaa62618aaf72898
GPT-5.6-sol,std,task025,True,True,True,82f4be4000c346bb
GPT-5.6-sol,std,task026,True,True,True,3fbe32b1cb9248b5
GPT-5.6-sol,std,task027,True,True,True,d1ec4adab4cddc94
GPT-5.6-sol,std,task028,True,True,True,1a8a2dd40b750044
GPT-5.6-sol,std,task029,True,True,True,07fa15ed704a2ab2
GPT-5.6-sol,std,task03,True,True,True,e5b7ab50bb9b3a32
GPT-5.6-sol,std,task030,True,True,True,f600066b97e9abba
GPT-5.6-sol,std,task031,True,True,True,29687af868a5d07d
GPT-5.6-sol,std,task032,True,True,True,0264d60ce95f7bea
GPT-5.6-sol,std,task033,True,True,True,6e6b7101a077e711
GPT-5.6-sol,std,task034,True,True,True,db92120bd4bcfc3a
GPT-5.6-sol,std,task035,True,True,True,d387826ef8cfc6e9
GPT-5.6-sol,std,task036,True,True,True,727da06191f638da
GPT-5.6-sol,std,task037,True,True,True,95d518de1fd92c41
GPT-5.6-sol,std,task038,True,True,True,f57f4f6452ea905d
GPT-5.6-sol,std,task039,True,True,True,f742a405fd909921
GPT-5.6-sol,std,task04,True,True,True,7d7c18c07cd08071
GPT-5.6-sol,std,task040,True,True,True,d757b870dc7de4bf
GPT-5.6-sol,std,task041,True,True,True,423b72cd706be107
GPT-5.6-sol,std,task042,True,True,True,4c071fc532930d29
GPT-5.6-sol,std,task043,True,True,True,efc2e56399cddcd2
GPT-5.6-sol,std,task044,True,False,True,dbd95da1be4a140a
GPT-5.6-sol,std,task045,True,True,True,cb409f83874b6bbd
GPT-5.6-sol,std,task046,True,True,True,f428fb8eaa4f431c
GPT-5.6-sol,std,task047,True,True,True,d9bff5d8aa7f1c11
GPT-5.6-sol,std,task048,True,True,True,9cfeb5b811d6449e
GPT-5.6-sol,std,task049,True,True,True,76cf2420b94517eb
GPT-5.6-sol,std,task05,True,True,True,fd095518737ab568
GPT-5.6-sol,std,task050,True,True,True,2f9e05ae620d5068
GPT-5.6-sol,std,task051,True,True,True,e7337640e49ffb0b
GPT-5.6-sol,std,task052,True,True,True,4c555ad3fecf3db1
GPT-5.6-sol,std,task053,True,True,True,f8134a1da7e96bf6
GPT-5.6-sol,std,task054,True,True,True,a2f94c50f3f0968f
GPT-5.6-sol,std,task055,True,True,True,5ea0739037d994a1
GPT-5.6-sol,std,task056,True,True,True,6e67ec659efa0293
GPT-5.6-sol,std,task057,True,True,True,1ccb7e0048767057
GPT-5.6-sol,std,task058,True,True,True,d632ff5d65e49555
GPT-5.6-sol,std,task059,True,True,True,c79d66f368476b87
GPT-5.6-sol,std,task06,True,False,True,19a0f57544e1a6ef
GPT-5.6-sol,std,task060,True,True,True,401aeacbb42d2b7b
GPT-5.6-sol,std,task061,True,True,True,969902467d7fb422
GPT-5.6-sol,std,task062,True,True,True,8d6e8579515147c0
GPT-5.6-sol,std,task063,True,True,True,f7253a4cd8910e66
GPT-5.6-sol,std,task064,True,True,True,e556db3cfe8c501a
GPT-5.6-sol,std,task065,True,True,True,79c9175b02b658aa
GPT-5.6-sol,std,task066,True,True,True,3d9a829870a7ebb2
GPT-5.6-sol,std,task067,True,True,True,61caa5cb6f26e79e
GPT-5.6-sol,std,task068,True,True,True,702b28a4856be660
GPT-5.6-sol,std,task069,True,True,True,0553a02b96ad560a
GPT-5.6-sol,std,task07,True,True,True,f249aad5fe376144
GPT-5.6-sol,std,task070,True,True,True,68b66430b58648d7
GPT-5.6-sol,std,task071,True,True,True,58e33e2a890855ad
GPT-5.6-sol,std,task072,True,True,True,29803f0ebef94175
GPT-5.6-sol,std,task073,True,True,True,ead54a77cde583f9
GPT-5.6-sol,std,task074,True,True,True,9f583c0d3caa2d80
GPT-5.6-sol,std,task075,True,True,True,f3e5c97f87f937d8
GPT-5.6-sol,std,task077,True,True,True,345ff437f5b97888
GPT-5.6-sol,std,task078,True,True,True,786cb87b964321de
GPT-5.6-sol,std,task079,True,True,True,e767c9a0a304ec8e
GPT-5.6-sol,std,task08,True,True,True,435d36bc58c430e3
GPT-5.6-sol,std,task080,True,True,True,f4cc719af72624bf
GPT-5.6-sol,std,task081,True,True,True,f4d4d37d28677c07
GPT-5.6-sol,std,task082,True,True,True,8982346b7853b0ad
GPT-5.6-sol,std,task083,True,True,True,22dffc9d474d4f26
GPT-5.6-sol,std,task084,True,True,True,1e217c768432e127
GPT-5.6-sol,std,task085,True,True,True,3a29e716d59fbe5e
GPT-5.6-sol,std,task086,True,True,True,19d49239000f16aa
GPT-5.6-sol,std,task087,True,True,True,85c661ae7b66e722
GPT-5.6-sol,std,task088,True,True,True,cf67adaffecb99f7
GPT-5.6-sol,std,task089,True,True,True,18fca3a099de1f59
GPT-5.6-sol,std,task09,True,True,True,3b77b30b5b0fa32c
GPT-5.6-sol,std,task090,True,True,True,0195a69937d30a84
GPT-5.6-sol,std,task091,True,True,True,2e11d7d3605ec514
GPT-5.6-sol,std,task092,True,True,True,312485348054c354
GPT-5.6-sol,std,task093,True,True,True,f8590ded28dbd2b7
GPT-5.6-sol,std,task094,True,True,True,c8512f8a0fdef176
GPT-5.6-sol,std,task095,True,True,True,5ac65045d1f45a12
GPT-5.6-sol,std,task096,True,True,True,d8b3ccf0993a3a7f
GPT-5.6-sol,std,task097,True,True,True,c7f32cd8bf1494e1
GPT-5.6-sol,std,task098,True,True,True,270f416f209cc50e
GPT-5.6-sol,std,task099,True,True,True,cbb7330feb414d84
GPT-5.6-sol,std,task10,True,True,True,dca406aaf22fa792
GPT-5.6-sol,std,task100,True,True,True,afc254032d799553
GPT-5.6-sol,std,task101,True,True,True,bf7835fa2808bf66
GPT-5.6-sol,std,task102,True,True,True,14ec560caf3ebab7
GPT-5.6-sol,std,task103,True,True,True,8717adfc30bc165f
GPT-5.6-sol,std,task104,True,True,True,3cde7a303e48540c
GPT-5.6-sol,std,task105,True,True,True,fc57331578325f24
GPT-5.6-sol,std,task106,True,True,True,19c275d3ac6a578a
GPT-5.6-sol,std,task107,True,True,True,d8e046287a904f8f
GPT-5.6-sol,std,task108,True,True,True,86d41da837c8c3b2
GPT-5.6-sol,std,task109,True,True,True,754740240a5b7149
GPT-5.6-sol,std,task11,True,True,True,47da31739282f6b2
GPT-5.6-sol,std,task110,True,True,True,0a151a0ff878631c
GPT-5.6-sol,std,task111,True,True,True,e1ee1ce58a12a210
GPT-5.6-sol,std,task112,True,True,True,ab56a602ed172891
GPT-5.6-sol,std,task113,True,True,True,eee6d635487c8076
GPT-5.6-sol,std,task114,True,True,True,82846ba1e327a89b
GPT-5.6-sol,std,task115,True,True,True,2fe496d2a258ac38
GPT-5.6-sol,std,task116,True,True,True,40f67c73592dc904
GPT-5.6-sol,std,task117,True,True,True,b30c8e058d0ea040
GPT-5.6-sol,std,task118,True,True,True,e818424d308a94e7
GPT-5.6-sol,std,task119,True,True,True,1e63c4a45407ba18
GPT-5.6-sol,std,task12,True,True,True,4fdef8d1ff096ee8
GPT-5.6-sol,std,task120,True,True,True,ea2374e5d4c1f7d5
GPT-5.6-sol,std,task121,True,True,True,5dafdcb01eeff53c
GPT-5.6-sol,std,task122,True,True,True,82422a1ef6e72376
GPT-5.6-sol,std,task123,True,True,True,f3efe6fee71feed1
GPT-5.6-sol,std,task124,True,True,True,5bd680a277d1ba13
GPT-5.6-sol,std,task125,True,True,True,9ed01afd3c790849
GPT-5.6-sol,std,task126,True,True,True,b6bb694fb729bc5c
GPT-5.6-sol,std,task127,True,True,True,9639d7262a3537f8
GPT-5.6-sol,std,task128,True,True,True,96f9147be058dfc0
GPT-5.6-sol,std,task13,True,True,True,9912855ab4dc4d12
GPT-5.6-sol,std,task130,True,True,True,ef14c00f7ec77e24
GPT-5.6-sol,std,task131,True,True,True,4383816824d643e6
GPT-5.6-sol,std,task132,True,True,True,3471616136221576
GPT-5.6-sol,std,task133,True,True,True,839923c19ef40837
GPT-5.6-sol,std,task134,True,True,True,580fb228af5bb8f8
GPT-5.6-sol,std,task135,True,True,True,466b7430949ad021
GPT-5.6-sol,std,task136,True,True,True,f6343bf63150f916
GPT-5.6-sol,std,task137,True,True,True,2a35999af8c1d394
GPT-5.6-sol,std,task138,True,True,True,bfe1dc9cdc219e77
GPT-5.6-sol,std,task139,True,True,True,36750068e979071a
GPT-5.6-sol,std,task14,True,True,True,f39034bb1b519296
GPT-5.6-sol,std,task140,True,True,True,6097df3668ff7538
GPT-5.6-sol,std,task141,True,True,True,93c0458afd8ae340
