task_id,category,title,defect_class_ids,defect_class_names,n_defect_classes,evidence,evidence_sources,rubric_solution_correct,rubric_description_clear,rubric_category_correct,rubric_tests_adequate,rubric_realistic,flagged_on_any_rubric_dim,outside_taxonomy,in_released_185,disposition,review_note_verbatim
task081,DPS,Record Diff Tool,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Correct for the stated contract, but the tests use single-record lists, so a mixed add/remove/change diff and the 'missing from any record' rule are never exercised. Add a multi-record case and a key missing from the new side."
task082,FIO,Config File Writer,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"The newline guard only checks for '\n', so a carriage return in a value produces a corrupt multi-line file, and the exact 'key=value' format (no spaces) is required by a test but not stated. Guard all line breaks and state the format."
task083,DBS,SQLite Migration Runner,C6,Weak (non-discriminative) tests,1,"[C6] The cleanest of the SQLite tasks, but a migration runner that never commits passes every test, because the success tests only check the return count and the rollback test checks the table is absent.",audit record,accept,accept,agree,reject,accept,yes,no,yes,retained (repaired),"The cleanest of the SQLite tasks, but a migration runner that never commits passes every test, because the success tests only check the return count and the rollback test checks the table is absent. Assert the tables exist from a fresh connection, and check the error message carries the failing statement."
task084,WNT,HTTP Status Code Classifier,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Correct and fully specified. The tests miss the meaningful boundaries; add 599 and 600, plus the other class edges."
task085,WNT,Query String Builder,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),Correct for everything stated. None and bool values pass through as strings and the encoding convention is left open; add an exact-output test that combines sorting with a list value.
task086,WNT,Robots.txt Parser,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"A comment line inside a group wipes the whole group, and user-agent matching is case-sensitive against the spec. Skip '#' lines without resetting the group, match agents case-insensitively, and add a comment-in-group test."
task087,WNT,Cookie Parser,C6,Weak (non-discriminative) tests,1,"[C6] The most common real cookie shape, a base64 value with '=' padding, isn't tested, and a naive split('=') version would pass; add that case.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, and it handles '=' inside values well. The most common real cookie shape, a base64 value with '=' padding, isn't tested, and a naive split('=') version would pass; add that case."
task088,WNT,Email Header Parser,C6,Weak (non-discriminative) tests,1,"[C6] Works for the basic cases, but the header-folding feature it's built around isn't really tested (a version that drops continuation lines passes because the test only checks a substring).",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Works for the basic cases, but the header-folding feature it's built around isn't really tested (a version that drops continuation lines passes because the test only checks a substring). Assert the exact unfolded value and add tab and duplicate-header cases."
task089,WNT,Retry with Exponential Backoff,C6,Weak (non-discriminative) tests,1,"[C6] Correct retry logic, but a version that never sleeps and re-raises the first exception passes all five tests, so neither the backoff nor 'raises last exception' is checked.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct retry logic, but a version that never sleeps and re-raises the first exception passes all five tests, so neither the backoff nor 'raises last exception' is checked. Assert the sleep sequence and the call count with a mocked clock."
task090,WNT,MIME Type Guesser,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Correct wrapper. One test is loosely written and lets image/x-png through; tighten it and add empty-string, double-extension, and unknown-extension cases."
task091,CCA,Thread-Safe Counter,C6 C7,Weak (non-discriminative) tests; Redundancy,2,"[C6] The counter is genuinely thread-safe, but the test starts a hundred threads that each do one increment, so a lock-free version passes. || [C7] This also duplicates task129; keep one.",audit record,accept,accept,agree,reject,accept,yes,no,yes,retained (repaired),"The counter is genuinely thread-safe, but the test starts a hundred threads that each do one increment, so a lock-free version passes. Use a barrier and thousands of increments per thread. This also duplicates task129; keep one."
task092,ODP,Memoize Decorator,C4 C6,Concurrency defect; Weak (non-discriminative) tests,2,"[C4] The decorator holds a non-reentrant lock across the wrapped call, so it deadlocks on the recursive fib in its own example. || [C6] Compute outside the lock or lock per key, support keyword arguments, and add a recursion and a real concurrency test.",audit record,reject,revise,agree,reject,accept,yes,no,yes,retained (repaired),"The decorator holds a non-reentrant lock across the wrapped call, so it deadlocks on the recursive fib in its own example. Compute outside the lock or lock per key, support keyword arguments, and add a recursion and a real concurrency test."
task093,CCA,Event Bus,,,0,,,accept,accept,disagree,revise,accept,yes,yes,yes,retained (repaired),"Correct, but there's no concurrency anywhere, so this is the Observer pattern and belongs under ODP. The tests also never pin notification order or exercise unsubscribe-during-publish; add those."
task094,DPS,Descriptive Statistics,C6,Weak (non-discriminative) tests,1,"[C6] A stub that returns mode None and never rounds passes all six tests, so fix mode, state ddof, and add a rounding case.",audit record,revise,revise,agree,reject,accept,yes,no,yes,retained (repaired),"mode is wrong for all-distinct data and its fallback is dead code, and sample-versus-population std_dev is unspecified. A stub that returns mode None and never rounds passes all six tests, so fix mode, state ddof, and add a rounding case."
task095,DPS,Percentile Calculator,C6,Weak (non-discriminative) tests,1,"[C6] Every input is already sorted, so a version that skips sorting passes; add an unsorted input and a single-element case.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct percentile with linear interpolation, and the method is tested. Every input is already sorted, so a version that skips sorting passes; add an unsorted input and a single-element case."
task096,DPS,Moving Average,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),No issues found. Well specified and well covered. Optional: an empty-data and a float-accumulation case.
task097,DPS,Z-Score Normalizer,C1 C2,Reference fails/contradicts its own tests; Description/test mismatch,2,"[C1] The description says results are rounded to 4dp, but rounding makes the solution fail the test tolerances, so the two contradict each other. || [C2] The description says results are rounded to 4dp, but rounding makes the solution fail the test tolerances, so the two contradict each other.",audit record,revise,reject,agree,revise,accept,yes,no,yes,retained (repaired),"The description says results are rounded to 4dp, but rounding makes the solution fail the test tolerances, so the two contradict each other. Drop the rounding line from the prompt (the code doesn't round) or loosen the tolerances, and remove the tautological assertion."
task098,DPS,Pearson Correlation Coefficient,C6,Weak (non-discriminative) tests,1,"[C6] Correct correlation, but the stated 4dp rounding is ignored and the tolerances are loose enough that it does not matter either way, so the rule is unenforced.",audit record,revise,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct correlation, but the stated 4dp rounding is ignored and the tolerances are loose enough that it does not matter either way, so the rule is unenforced. Enforce rounding with a tight test, and add a near-zero and a negative correlation case."
task099,DPS,Outlier Detector,C2,Description/test mismatch,1,"[C2] The description says return an empty list for short input but the code and tests require ValueError, and the worked example is wrong.",audit record,revise,reject,agree,revise,accept,yes,no,yes,retained (repaired),"The description says return an empty list for short input but the code and tests require ValueError, and the worked example is wrong. Make the prompt match the ValueError behavior, fix the example, and pin the std convention."
task100,DPS,Frequency Distribution,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] The description asks for relative frequencies summing to 1.0, but the solution and tests return raw counts, so anyone implementing the prompt fails everything. || [C6] Pick one behavior and make both sides match, and add a distinguishing requirement so it isn't just Counter.",audit record,reject,reject,agree,reject,revise,yes,no,yes,retained (repaired),"The description asks for relative frequencies summing to 1.0, but the solution and tests return raw counts, so anyone implementing the prompt fails everything. Pick one behavior and make both sides match, and add a distinguishing requirement so it isn't just Counter."
task101,ODP,Singleton Pattern,C2,Description/test mismatch,1,"[C2] The solution is a fine singleton, but a test reaches into a private _instance attribute the prompt never mentions, so a spec-faithful version using a differently named field fails.",audit record,revise,reject,agree,revise,accept,yes,no,yes,retained (repaired),"The solution is a fine singleton, but a test reaches into a private _instance attribute the prompt never mentions, so a spec-faithful version using a differently named field fails. Stop testing the private attribute, and note subclassing and re-init aren't handled."
task102,ODP,Observer Pattern,C6,Weak (non-discriminative) tests,1,"[C6] A subject that shares one observer list across instances still passes, and notification order isn't pinned.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Clean observer. A subject that shares one observer list across instances still passes, and notification order isn't pinned. Add an independence test and an order test."
task103,ODP,Builder Pattern (Query Builder),C2,Description/test mismatch,1,"[C2] The description describes a fluent QueryBuilder with a no-table ValueError, but the code and tests use a completely different constructor and raw-SQL API, so implementing the prompt scores zero.",audit record,revise,reject,agree,revise,reject,yes,no,yes,retained (repaired),"The description describes a fluent QueryBuilder with a no-table ValueError, but the code and tests use a completely different constructor and raw-SQL API, so implementing the prompt scores zero. Align the two, and switch build() to parameters since it currently concatenates user input into SQL."
task104,ODP,Strategy Pattern (Sorter),C2,Description/test mismatch,1,"[C2] Both sorts are correct, but a test needs a set_strategy method and a no-mutation guarantee that the prompt never mentions.",audit record,accept,reject,agree,revise,accept,yes,no,yes,retained (repaired),"Both sorts are correct, but a test needs a set_strategy method and a no-mutation guarantee that the prompt never mentions. Add both to the description."
task105,CCA,Producer-Consumer Queue,C2 C4 C6,Description/test mismatch; Concurrency defect; Weak (non-discriminative) tests,3,"[C2] The description and the shipped code are different functions (different arguments, different result ordering, no validation), so a prompt-faithful solution fails all four tests, and None items collide with the shutdown sentinel. || [C4] The description and the shipped code are different functions (different arguments, different result ordering, no validation), so a prompt-faithful solution fails all four tests, and None items collide with the shutdown sentinel. || [C6] Align spec and code, and have the tests assert input order instead of sorting it away.",audit record,reject,reject,agree,reject,accept,yes,no,yes,retained (repaired),"The description and the shipped code are different functions (different arguments, different result ordering, no validation), so a prompt-faithful solution fails all four tests, and None items collide with the shutdown sentinel. Align spec and code, and have the tests assert input order instead of sorting it away."
task106,DPS,Histogram Bins,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] No test ever checks a bin edge, so a version returning garbage edges passes, and the all-equal case collapses to one bin against the 'equal-width' description. || [C6] No test ever checks a bin edge, so a version returning garbage edges passes, and the all-equal case collapses to one bin against the 'equal-width' description.",audit record,revise,reject,agree,reject,accept,yes,no,yes,retained (repaired),"No test ever checks a bin edge, so a version returning garbage edges passes, and the all-equal case collapses to one bin against the 'equal-width' description. Assert the exact tuples from the example, define the half-open edges, and remove the dead recount code."
task107,TCQ,Assert Dict Subset Helper,C2,Description/test mismatch,1,"[C2] The tests demand the exact words 'Missing key' and 'expected' that the prompt never specifies, so an equally clear but differently worded message fails.",audit record,accept,reject,agree,revise,accept,yes,no,yes,retained (repaired),"The tests demand the exact words 'Missing key' and 'expected' that the prompt never specifies, so an equally clear but differently worded message fails. Either specify the required substrings or check behavior rather than wording, and test that all mismatches are reported."
task108,TCQ,Code Complexity Estimator,C2,Description/test mismatch,1,"[C2] The description's own example claims two branches where the test (correctly) says one, so following the example fails, and the metric is left vague.",audit record,revise,reject,agree,revise,reject,yes,no,yes,retained (repaired),"The description's own example claims two branches where the test (correctly) says one, so following the example fails, and the metric is left vague. Fix the example, define exactly which nodes count and what a 'line' is, and raise on non-function input."
task109,ODP,Pipeline Function Composer,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),No issues. Order is stated and tested. Fine.
task110,DPS,Deep Dict Merge,C6,Weak (non-discriminative) tests,1,"[C6] Correct and non-mutating, but a version that concatenates lists on conflict instead of overriding passes, so the 'override wins' rule isn't enforced.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct and non-mutating, but a version that concatenates lists on conflict instead of overriding passes, so the 'override wins' rule isn't enforced. Add that case, and note the result shares nested dicts with the base."
task111,ADS,Chunked Iterator,C6,Weak (non-discriminative) tests,1,"[C6] A correct generator, but an eager list version passes every test because they all wrap the call in list(), so laziness is never checked.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"A correct generator, but an eager list version passes every test because they all wrap the call in list(), so laziness is never checked. Add a test against an infinite source that takes only the first few chunks."
task112,ADS,Matrix Multiply,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Correct multiply, but the tests only use square or vector shapes, so a genuine rectangular case that would expose row/column confusion is missing, and only one operand's emptiness is checked. Add a 2x3 by 3x2 case."
task113,SPT,Roman Numeral Decoder,C6,Weak (non-discriminative) tests,1,"[C6] Swapping two entries in the numeral table still passes, since L and D never appear in any test; add coverage for them and a round-trip against the encoder.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Matches the spec exactly. Swapping two entries in the numeral table still passes, since L and D never appear in any test; add coverage for them and a round-trip against the encoder."
task114,ADS,Topological Sort,C6,Weak (non-discriminative) tests,1,"[C6] Correct topological sort, but every test graph is already in a valid order, so a version that never sorts (just returns the keys) passes.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct topological sort, but every test graph is already in a valid order, so a version that never sorts (just returns the keys) passes. Use a graph whose key order violates the ordering and assert the full node set."
task115,ADS,Interval Merger,C7,Redundancy,1,"[C7] The touching-merge and list-output rules are only implied by the example, so state them, and note this overlaps task16 (keep this one).",audit record,accept,accept,agree,accept,revise,yes,no,yes,retained (repaired),"Correct interval merger. The touching-merge and list-output rules are only implied by the example, so state them, and note this overlaps task16 (keep this one)."
task116,ADS,Power Set Generator,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Duplicate inputs produce duplicate frozensets and the 'sorted' order is never actually defined or tested. Decide how duplicates and ordering work, then assert the exact list for the documented example."
task117,ADS,Integer Base Converter,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"No issues; verified against a large sample. Just reconcile the category with task040, which labels the same shape differently. Optional: a mixed digit-and-letter result case."
task118,DPS,Flatten Dict,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Keys whose value is an empty dict silently vanish, and separator collisions overwrite data, neither of which is stated or tested. Decide the empty-dict and collision behavior and add those cases."
task119,SPT,Simple Expression Tokenizer,C6,Weak (non-discriminative) tests,1,"[C6] Correct, but the 'int stays int, float stays float' rule isn't enforced because Python compares lists by value, so an all-floats tokenizer passes.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but the 'int stays int, float stays float' rule isn't enforced because Python compares lists by value, so an all-floats tokenizer passes. Assert the element types, and note the undocumented ^ and % operators."
task120,CCA,TTL Cache,,,0,,,revise,revise,disagree,revise,accept,yes,yes,yes,retained (repaired),"There's no threading here, so this is a data-structure task, not concurrency. It also breaks on max_size 0 and can evict a live entry while a stale one lingers. Fix those edges and move it to ADS."
task121,DBS,SQLite Row Pagination,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] The return type (plain tuples) isn't stated though, and dropping the ORDER BY still passes. || [C6] The return type (plain tuples) isn't stated though, and dropping the ORDER BY still passes.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Sound and safe: the identifier is whitelisted and limit/offset are bound parameters. The return type (plain tuples) isn't stated though, and dropping the ORDER BY still passes. State the row shape and add a case where insertion order differs from rowid order."
task122,DBS,SQLite Column Value Counts,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),The best of the database tasks; identifiers are validated and injection attempts raise as intended. Nothing to fix.
task123,ODP,Factory Pattern (Shape Factory),,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct factory with proper validation, the best of its group. Minor: a missing keyword raises KeyError rather than ValueError, unstated."
task124,ODP,Command Pattern (Undo/Redo Buffer),C2,Description/test mismatch,1,"[C2] Correct undo/redo, but a test requires append(123) to raise ValueError where the prompt only annotates the type.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct undo/redo, but a test requires append(123) to raise ValueError where the prompt only annotates the type. Add the validation rule to the description."
task125,ODP,State Pattern (Traffic Light),C2,Description/test mismatch,1,"[C2] Correct, but a test requires next(1.5) to raise ValueError where the prompt only rules out negatives.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but a test requires next(1.5) to raise ValueError where the prompt only rules out negatives. State that steps must be an integer. Also worth noting this is really a modular counter, not a state machine."
task126,ODP,Chain of Responsibility,C2,Description/test mismatch,1,"[C2] Correct chain, but a test requires handle('500') to raise ValueError, which the prompt never states.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct chain, but a test requires handle('500') to raise ValueError, which the prompt never states. Add the type rule, and factor the repeated validation out of all four handlers."
task127,CCA,Rate Limiter (Token Bucket),C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] Also the tokens property is tested but never mentioned in the prompt. || [C6] Genuinely thread-safe, but the concurrency test starts 500 threads that each call allow once, so a lock-free version passes.",audit record,accept,revise,agree,reject,accept,yes,no,yes,retained (repaired),"Genuinely thread-safe, but the concurrency test starts 500 threads that each call allow once, so a lock-free version passes. Use a barrier and per-thread loops. Also the tokens property is tested but never mentioned in the prompt."
task128,CCA,Parallel Map (order-preserving),C6,Weak (non-discriminative) tests,1,"[C6] Correct and order-preserving, but a version with no threads at all passes because nothing observes concurrency.",audit record,accept,accept,agree,reject,accept,yes,no,yes,retained (repaired),"Correct and order-preserving, but a version with no threads at all passes because nothing observes concurrency. Add a timing or concurrency probe so the 'uses threads' claim is actually checked."
task129,CCA,Concurrent Counter,C6 C7,Weak (non-discriminative) tests; Redundancy,2,"[C6] Correct, but a one-line n*m with a validation check passes all six tests, since the only output is a deterministic product. || [C7] Because no black-box test can prove threading here, this overlaps task091 and one of the two should go.",audit record,accept,accept,agree,reject,revise,yes,no,no,"dropped: duplicate counter, task091 kept","Correct, but a one-line n*m with a validation check passes all six tests, since the only output is a deterministic product. Because no black-box test can prove threading here, this overlaps task091 and one of the two should go."
task130,CCA,Read-Write Lock,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] Add a reader-holds-while-writer-waits test, and note the unbalanced-release ValueError isn't in the prompt. || [C6] Correct read-write lock, but a version where readers and writers don't exclude each other passes, since the only concurrent test is writer-versus-writer.",audit record,accept,revise,agree,reject,accept,yes,no,yes,retained (repaired),"Correct read-write lock, but a version where readers and writers don't exclude each other passes, since the only concurrent test is writer-versus-writer. Add a reader-holds-while-writer-waits test, and note the unbalanced-release ValueError isn't in the prompt."
task131,CCA,Run-Once Initializer,,,0,,,accept,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"The strongest concurrency test in the set: a lock-free version genuinely fails it. The only gap is unstated behavior when the function raises, which currently causes a re-run. Decide and document that."
task132,CCA,Bounded Concurrency Executor,C6,Weak (non-discriminative) tests,1,"[C6] Correct bounded executor, but a version with no threads passes because the concurrency test only checks an upper bound that a sequential run satisfies.",audit record,accept,accept,agree,reject,accept,yes,no,yes,retained (repaired),"Correct bounded executor, but a version with no threads passes because the concurrency test only checks an upper bound that a sequential run satisfies. Add a lower-bound or timing assertion."
task133,TCQ,Docstring Coverage,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Matches the spec exactly and handles odd inputs sensibly, the best of the TCQ group. Nothing to fix."
task134,TCQ,Non-Snake-Case Function Names,C6,Weak (non-discriminative) tests,1,"[C6] Correct, but the tests contain no class at all, so whether methods count is left open and a version that skips class bodies passes.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but the tests contain no class at all, so whether methods count is left open and a version that skips class bodies passes. State whether methods count and add a class with methods and dunders."
task135,TCQ,Unused Import Detector,C6,Weak (non-discriminative) tests,1,"[C6] 'from os import *' gets reported as an unused import named '*', and the tests don't force real AST-based detection, so a regex version passes while misreading strings and comments.",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"'from os import *' gets reported as an unused import named '*', and the tests don't force real AST-based detection, so a regex version passes while misreading strings and comments. Handle star imports and add a case where an import is used only inside a string."
task136,TCQ,Long Line Linter,,,0,,,accept,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Boundary handling is right, but splitlines() treats form feeds and a few other characters as line breaks, which shifts line numbers, and CRLF behavior is unspecified. State the line-splitting rule and add CRLF, tab, and form-feed tests."
task137,TCQ,TODO/FIXME Marker Scanner,C6,Weak (non-discriminative) tests,1,"[C6] Handle the fallback properly, and replace the vacuous string test with one that actually puts a marker in a string with a '#'.",audit record,revise,revise,agree,reject,accept,yes,no,yes,retained (repaired),"The main path is fine, but when the source can't be tokenized it falls back to a raw scan that reports markers inside strings, inverting the whole 'comments only' promise. Handle the fallback properly, and replace the vacuous string test with one that actually puts a marker in a string with a '#'."
task138,TCQ,Assert Almost Equal,C6,Weak (non-discriminative) tests,1,"[C6] A different but common tolerance definition passes all seven tests, so add NaN, infinity, and a round-half-even case to pin the intended behavior.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Matches the spec, which is the most precise of the group. A different but common tolerance definition passes all seven tests, so add NaN, infinity, and a round-half-even case to pin the intended behavior."
task139,TCQ,Test Case Expander,,,0,,,accept,accept,agree,revise,revise,yes,yes,yes,retained (repaired),"Correct, but it's a three-line dict merge with no analysis, which gives little signal in a code-quality benchmark, and one test asserts something meaningless (is not None). Fix that assertion, decide shallow versus deep merge, or replace the task."
